project,revision_num,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,is_increased
couchbase-java-client,49440,0,0,0,0,0,0,0,0
couchbase-java-client,49449,0,0,1,0,1,0,1,1
couchbase-java-client,49606,0,1,0,0,0,1,1,0
couchbase-java-client,49805,0,0,0,0,0,0,0,1
couchbase-java-client,49859,0,0,0,0,0,0,0,0
couchbase-java-client,49888,0,0,0,0,0,0,0,0
couchbase-java-client,49889,0,0,0,0,0,0,0,0
couchbase-java-client,49890,0,0,0,0,0,0,0,0
couchbase-java-client,49891,0,0,0,0,0,0,0,0
couchbase-java-client,49901,0,0,0,0,0,1,1,0
couchbase-java-client,49940,0,0,0,1,0,0,1,0
couchbase-java-client,49989,0,0,0,0,0,1,1,0
couchbase-java-client,49990,0,0,0,0,0,1,1,0
couchbase-java-client,50061,0,1,0,0,1,1,1,0
couchbase-java-client,50190,0,0,1,1,0,0,1,0
couchbase-java-client,50274,0,1,0,0,1,1,1,0
couchbase-java-client,50318,0,0,0,0,1,1,1,0
couchbase-java-client,50323,0,1,0,0,1,0,1,0
couchbase-java-client,50327,0,1,0,0,1,1,1,0
couchbase-java-client,50385,0,0,0,0,0,1,1,0
couchbase-java-client,50705,0,0,1,1,0,1,1,0
couchbase-java-client,50841,0,0,1,0,0,1,1,0
couchbase-java-client,50842,0,0,1,0,0,1,1,0
couchbase-java-client,50963,0,0,1,0,0,1,1,0
couchbase-java-client,50964,0,0,1,0,0,1,1,0
couchbase-java-client,51096,0,0,1,0,0,1,1,0
couchbase-java-client,51153,0,0,0,0,0,0,0,0
couchbase-java-client,51210,0,0,1,0,0,0,1,0
couchbase-java-client,51211,0,0,1,1,0,0,1,0
couchbase-java-client,51366,0,0,1,1,0,1,1,0
couchbase-java-client,51438,0,0,0,0,0,1,1,0
couchbase-java-client,51563,0,0,0,0,0,1,1,0
couchbase-java-client,51950,0,0,0,0,0,1,1,0
couchbase-java-client,52100,0,0,0,1,0,0,1,0
couchbase-java-client,52101,0,0,0,0,0,0,0,0
couchbase-java-client,52276,0,0,0,0,0,0,0,0
couchbase-java-client,52278,0,0,0,0,0,0,0,0
couchbase-java-client,52422,0,0,0,0,0,0,0,0
couchbase-java-client,52590,0,0,1,0,0,1,1,0
couchbase-java-client,52702,0,0,0,0,0,0,0,1
couchbase-java-client,52705,0,0,0,0,0,0,0,1
couchbase-java-client,52781,0,1,1,0,1,1,1,0
couchbase-java-client,52828,0,0,0,0,0,0,0,0
couchbase-java-client,53012,0,0,0,0,0,0,0,0
couchbase-java-client,53036,0,1,1,0,0,1,1,0
couchbase-java-client,53218,0,0,0,0,0,0,0,0
couchbase-java-client,53228,0,0,0,0,1,0,1,0
couchbase-java-client,53232,0,0,0,0,0,0,0,0
couchbase-java-client,53543,0,0,0,0,0,0,0,0
couchbase-java-client,53548,0,1,0,0,1,1,1,0
couchbase-java-client,53589,0,0,1,0,0,0,1,1
couchbase-java-client,53736,0,0,0,0,0,0,0,0
couchbase-java-client,53737,0,0,0,0,0,0,0,0
couchbase-java-client,53798,0,0,0,0,0,0,0,0
couchbase-java-client,53931,0,0,0,1,0,0,1,0
couchbase-java-client,54133,0,1,0,0,1,0,1,1
couchbase-java-client,54138,0,0,0,0,0,0,0,0
couchbase-java-client,54168,0,1,0,1,0,0,1,0
couchbase-java-client,54410,0,0,0,0,0,0,0,1
couchbase-java-client,54412,0,0,0,0,0,0,0,0
couchbase-java-client,54444,0,1,1,1,0,0,1,0
couchbase-java-client,54498,0,0,0,0,0,0,0,1
couchbase-java-client,54575,0,0,0,1,0,0,1,0
couchbase-java-client,54586,0,0,0,1,0,0,1,0
couchbase-java-client,54592,0,0,0,0,1,1,1,0
couchbase-java-client,54809,0,1,0,0,1,1,1,1
couchbase-java-client,54810,0,1,0,1,1,0,1,1
couchbase-java-client,54811,0,0,0,0,0,1,1,0
couchbase-java-client,54851,0,0,0,0,0,1,1,0
couchbase-java-client,54899,0,0,0,1,0,0,1,0
couchbase-java-client,54949,0,0,0,0,0,0,0,0
couchbase-java-client,54950,0,0,0,1,0,0,1,0
couchbase-java-client,55346,0,0,0,0,0,0,0,0
couchbase-java-client,55489,0,0,1,0,0,1,1,0
couchbase-java-client,55726,0,0,1,0,0,1,1,0
couchbase-java-client,55735,1,0,0,1,0,0,1,0
couchbase-java-client,55845,0,1,0,1,1,0,1,1
couchbase-java-client,55901,0,0,0,0,0,0,0,0
couchbase-java-client,55910,0,0,0,0,0,0,0,0
couchbase-java-client,55949,0,0,0,0,0,0,0,0
couchbase-java-client,56038,1,0,0,1,0,0,1,0
couchbase-java-client,56056,0,0,0,1,0,0,1,0
couchbase-java-client,56153,0,1,0,1,0,0,1,0
couchbase-java-client,56189,0,0,0,0,1,0,1,0
couchbase-java-client,56191,0,0,0,0,0,0,0,0
couchbase-java-client,56209,0,0,0,0,0,0,0,0
couchbase-java-client,56291,0,0,0,0,0,1,1,0
couchbase-java-client,56603,0,0,0,0,0,1,1,0
couchbase-java-client,56625,0,0,0,0,0,0,0,0
couchbase-java-client,56629,0,0,0,0,0,0,0,0
couchbase-java-client,56630,0,0,0,0,0,0,0,0
couchbase-java-client,56642,0,0,0,0,0,1,1,0
couchbase-java-client,56689,0,0,0,1,0,0,1,0
couchbase-java-client,56698,0,0,0,0,0,0,0,0
couchbase-java-client,56738,0,1,0,0,0,0,1,0
couchbase-java-client,56973,0,0,0,1,0,0,1,0
couchbase-java-client,57103,0,0,1,0,0,0,1,0
couchbase-java-client,57106,0,0,1,1,0,0,1,0
couchbase-java-client,57375,0,1,0,0,1,1,1,0
couchbase-java-client,57424,0,1,1,0,0,1,1,0
couchbase-java-client,57530,0,1,1,0,1,1,1,1
couchbase-java-client,57844,0,1,0,1,0,0,1,1
couchbase-java-client,57848,0,0,0,0,0,1,1,0
couchbase-java-client,57910,0,0,0,0,0,0,0,0
couchbase-java-client,58027,0,1,0,1,0,0,1,0
couchbase-java-client,58040,0,1,0,1,0,0,1,0
couchbase-java-client,58055,0,1,0,1,1,0,1,0
couchbase-java-client,58061,0,1,0,1,1,0,1,0
couchbase-java-client,58111,0,0,0,0,0,0,0,0
couchbase-java-client,58115,0,0,0,0,0,0,0,0
couchbase-java-client,58156,0,1,0,1,1,0,1,0
couchbase-java-client,58205,0,0,0,0,1,0,1,0
couchbase-java-client,58223,0,1,1,1,1,1,1,1
couchbase-java-client,58891,0,0,0,0,0,1,1,0
couchbase-java-client,58892,0,0,0,0,0,1,1,0
couchbase-java-client,58893,0,1,0,0,1,0,1,0
couchbase-java-client,59015,0,0,1,0,0,1,1,0
couchbase-java-client,59037,0,1,1,0,0,1,1,0
couchbase-java-client,59133,0,0,0,0,0,1,1,0
couchbase-java-client,59250,0,1,0,0,0,0,1,0
couchbase-java-client,59251,0,0,0,0,1,1,1,0
couchbase-java-client,59258,0,0,0,0,0,0,0,0
couchbase-java-client,60041,0,0,0,0,0,1,1,0
couchbase-java-client,60201,0,1,1,1,1,1,1,1
couchbase-java-client,60243,0,0,0,0,0,0,0,0
couchbase-java-client,60548,0,0,0,0,0,0,0,0
couchbase-java-client,60562,0,0,0,0,0,1,1,0
couchbase-java-client,60922,0,0,1,0,0,1,1,0
couchbase-java-client,61226,0,1,0,1,0,0,1,0
couchbase-java-client,61423,0,1,0,0,0,1,1,0
couchbase-java-client,61426,0,0,0,0,0,1,1,0
couchbase-java-client,61569,0,0,0,0,0,0,0,0
couchbase-java-client,61570,0,0,0,0,0,0,0,0
